SNo,Class Name,GPT3 discription
1,Single object appearing by increasing opacity,"

The object gradually materializes into view as its opacity increases, starting from complete transparency to full visibility. This action gives the impression of the object emerging or manifesting from its surroundings, becoming more defined with each incremental increase in opacity."
2,Multiple objects all appearing simultaneously by increasing opacity,"

A collection of objects collectively transitions from transparency to visibility simultaneously. As their opacities increase in unison, the objects seem to materialize in harmony, presenting a synchronized emergence. This action can create a striking visual effect, as multiple elements suddenly become apparent to the observer."
3,Multiple objects all appearing one by one by increasing opacity,"

Each object in a group makes its entrance sequentially, with their opacities gradually increasing one after the other. This gradual unveiling creates a sense of anticipation and rhythm, as each object takes its turn to become fully visible. The sequence of appearances can be choreographed to draw attention to each individual element before revealing the complete ensemble."
4,Two objects appearing among two other objects,"

In the midst of a set of objects, two specific ones emerge gradually, their opacities increasing amidst their surroundings. This action can imply a selective focus on these two objects amidst a larger context, highlighting their significance or uniqueness within the group. As they become more visible, their presence becomes distinct from the surrounding elements, drawing attention to their emergence."
5,Single object arriving,"

An object moves into the scene from outside the frame, gradually becoming visible as it approaches. This action suggests a deliberate entrance or arrival, as the object transitions from invisibility to presence. The gradual reveal can build anticipation and curiosity about the nature of the arriving object, its purpose, or its significance within the context of the scene."
6,Multiple objects arriving simultaneously,"

Several objects enter the scene together, transitioning from invisibility to visibility in unison. This simultaneous arrival can suggest a coordinated event or collective action, as multiple elements make their presence known at the same time. The synchronized appearance of the objects can convey a sense of unity or purpose, with each element contributing to the overall composition or narrative of the scene."
7,Multiple objects arriving one by one,"

Objects make their entrances sequentially, with each one becoming visible individually over time. This gradual arrival creates a sense of progression or buildup, as each object adds to the complexity of the scene. The sequential unveiling of the objects can guide the viewer's attention and create a dynamic sense of movement within the composition."
8,Single object arriving among many objects,"

A solitary object enters a space already occupied by other elements, gradually becoming visible amidst the existing surroundings. This arrival can create a focal point within a crowded scene, drawing attention to the newly arrived object and its relationship to the surrounding environment. The gradual reveal of the object amidst the pre-existing elements can highlight its significance or contrast with its surroundings."
9,Single object arriving beside another single object,"

An object enters the scene and positions itself next to another object already present. This action can suggest a specific relationship or interaction between the two objects, as they become visible in proximity to each other. The gradual reveal of the arriving object can emphasize its connection to the pre-existing element and enhance the viewer's understanding of their spatial relationship."
10,"Single object arriving beside another single object, pausing then going away","

An object enters the scene, pauses briefly next to another object, then departs gradually. This action can imply a momentary interaction or encounter between the two objects before one of them moves on. The pause in movement can create a sense of tension or anticipation."
11,Single object bouncing on a plain surface eventually stops,"

An object repeatedly impacts a flat surface, bouncing with decreasing height until it eventually comes to a rest. This action demonstrates the gradual dissipation of kinetic energy as the object loses momentum with each bounce. The eventual cessation of movement can mark the conclusion of a dynamic sequence, signaling a transition to a state of rest or stability."
12,Multiple objects bouncing on plain surface at almost similar heights eventually stop,"

Several objects bounce in succession on a flat surface, each reaching a similar height before gradually coming to a stop. This action creates a rhythmic pattern as the objects interact with the surface, gradually losing energy with each successive bounce. The synchronized motion of the objects can create a visually engaging display, with each element contributing to the overall dynamic of the scene."
