id,name
0,balloon blowing
1,building cabinet
2,catching or throwing frisbee
3,throwing axe
4,cleaning floor
5,cleaning gutters
6,cleaning pool
7,climbing a rope
8,climbing ladder
9,baking cookies
10,barbequing
11,cooking chicken
12,cooking egg
13,belly dancing
14,breakdancing
15,country line dancing
16,dancing ballet
17,dancing charleston
18,dancing gangnam style
19,dancing macarena
20,jumpstyle dancing
21,drinking beer
22,drinking shots
23,dining
24,eating burger
25,eating cake
26,eating carrots
27,eating chips
28,eating doughnuts
29,feeding birds
30,feeding fish
31,catching fish
32,folding clothes
33,folding napkins
34,arranging flowers
35,planting trees
36,stomping grapes
37,grooming dog
38,braiding hair
39,brushing hair
40,curling hair
41,dying hair
42,contact juggling
43,juggling balls
44,high jump
45,drop kicking
46,high kick
47,kicking field goal
48,kicking soccer ball
49,changing oil
50,changing wheel
51,massaging back
52,massaging feet
53,air drumming
54,beatboxing
55,opening bottle
56,petting animal (not cat)
57,golf chipping
58,golf driving
59,hitting baseball
60,busking
61,drumming fingers
62,playing accordion
63,playing bagpipes
64,playing bass guitar
65,playing cello
66,playing clarinet
67,playing cymbals
68,playing didgeridoo
69,playing drums
70,playing flute
71,playing guitar
72,playing harmonica
73,catching or throwing baseball
74,dodgeball
75,dribbling basketball
76,dunking basketball
77,passing American football (in game)
78,throwing ball
79,cutting pineapple
80,peeling apples
81,punching bag
82,pushing car
83,pushing cart
84,reading book
85,riding camel
86,riding elephant
87,crossing river
88,sailing
89,surfing water
90,biking through snow
91,driving car
92,motorcycling
93,riding scooter
94,snowmobiling
95,shaving head
96,ski jumping
97,skiing (not slalom or crosscountry)
98,water skiing
99,smoking cigarette or short object
100,scuba diving
101,swimming backstroke
102,swimming breast stroke
103,baby waking up
104,carrying baby
105,tying bow tie
106,tying knot (not on a tie)
107,washing dishes
108,washing feet
109,waxing back
110,waxing chest
