Head class id,Head class,Intra class no.,Fine Class,,Set,Set Fine class id
0,Appearing,1,Single object appearing by increasing opacity,,1,0
0,Appearing,2,Multiple objects all appearing simultaneously by increasing opacity,,1,1
0,Appearing,3,Multiple objects all appearing one by one by increasing opacity,,2,0
0,Appearing,4,Two objects appearing among two other objects,,2,1
1,Arriving,1,Single object arriving,,1,2
1,Arriving,2,Multiple objects arriving simultaneously,,1,3
1,Arriving,3,Multiple objects arriving one by one,,2,2
1,Arriving,4,Single object arriving among many objects,,2,3
1,Arriving,5,Single object arriving beside another single object,,1,4
1,Arriving,6,"Single object arriving beside another single object, pausing then going away",,2,4
2,Bouncing,1,Single ball bouncing on a plain surface eventually stops,,1,5
2,Bouncing,2,Multiple balls bouncing on plain surface at almost similar heights eventually stop,,2,5
2,Bouncing,3,Multiple balls bouncing on plain surface at very different heights eventually stop,,1,6
2,Bouncing,4,Single ball imitating the motion of bouncing against a wall,,2,6
2,Bouncing,5,Single ball bouncing and going forward,,1,7
2,Bouncing,6,Single ball bouncing on a plain surface perpetually,,2,7
2,Bouncing,7,Single ball imitating the motion of bouncing and going down stairs,,1,8
2,Bouncing,8,Single ball imitating the motion of bouncing and going up stairs,,2,8
3,Changing color,1,Single object keeps changing colors,,1,9
3,Changing color,2,Two objects changing colors by switching with each other,,1,10
3,Changing color,3,Single object changing from bright to dark color,,1,11
3,Changing color,4,Single object changing from dark to bright color,,2,9
3,Changing color,5,Single object changing color then returning to previous one,,2,10
4,Changing shape,1,Single object of other shape changes into sphere,,1,12
4,Changing shape,2,Single object of other shape changes into cube,,1,13
4,Changing shape,3,Single object of other shape changes into pyramid,,2,11
4,Changing shape,4,Two objects changing shapes by switching with each other,,1,14
4,Changing shape,5,Single object changing into another shape then turning back to original shape,,2,12
5,Cloning,1,Single object cloning into two identical objects both going in same direction,,1,15
5,Cloning,2,Single object cloning into two identical objects both going in different directions,,2,13
5,Cloning,3,Single object cloning into multiple identical objects one by one,,1,16
5,Cloning,4,Single object cloning into multiple identical objects at once,,2,14
5,Cloning,5,Single object cloning into one identical object and another object with different colour,,1,17
6,Departing,1,Single object departing,,1,18
6,Departing,2,Multiple objects departing simultaneously,,1,19
6,Departing,3,Multiple objects departing one by one,,2,15
