Head class id,Head class,Intra class no.,Fine Class,Set
0,Appearing,1,Single object appearing by increasing opacity,1
0,Appearing,2,Multiple objects all appearing simultaneously by increasing opacity,1
1,Arriving,1,Single object arriving,1
1,Arriving,2,Multiple objects arriving simultaneously,1
1,Arriving,5,Single object arriving beside another single object,1
2,Bouncing,1,Single object bouncing on a plain surface eventually stops,1
2,Bouncing,3,Multiple objects bouncing on plain surface at very different heights eventually stop,1
2,Bouncing,5,Single object bouncing and going forward,1
2,Bouncing,7,Single object imitating the motion of bouncing and going down stairs,1
3,Changing color,1,Single object keeps changing colors,1
3,Changing color,2,Two objects changing colors by switching with each other,1
3,Changing color,3,Single object changing from bright to dark color,1
4,Changing shape,1,Single object of other shape changes into pyramid,1
4,Changing shape,2,Single object of other shape changes into cube,1
4,Changing shape,5,Two objects changing shapes by switching with each other,1
5,Cloning,1,Single object cloning into two identical objects both going in same direction,1
5,Cloning,3,Single object cloning into multiple identical objects one by one,1
5,Cloning,5,Single object cloning into one identical object and another object with different colour,1
6,Departing,1,Single object departing,1
6,Departing,2,Multiple objects departing simultaneously,1
6,Departing,5,Single object departing beside another single object,1
7,Disappearing,1,Single object disappearing by decreasing opacity,1
7,Disappearing,2,Multiple objects all disappearing simultaneously by decreasing opacity,1
8,Expanding,1,Small single object expanding into medium object,1
8,Expanding,3,Two different small objects expanding into similar larger size,1
9,Falling,1,Single object falling straight down without changing direction,1
9,Falling,2,Single object falling down in a zigzag pattern,1
10,Following,1,Single object following another object all the time while moving in a straight line,1
10,Following,2,Single object following another object for some time while moving in straight line then follows another path,1
10,Following,3,Multiple objects following one object all the time in a straight line,1
11,Merging,1,Two objects merging into one similar sized object while moving towards each other,1
11,Merging,3,Multiple objects merging into one big object,1
12,Moving in a path,1,Single object moving slowly from one position to another and stopping,1
12,Moving in a path,3,Single object moving slowly from one position to another and coming back to original position,1
12,Moving in a path,5,Single object moving from left to right,1
13,Not colliding,1,Two objects moving towards each other but not colliding,1
13,Not colliding,2,Single object moving towards single stationary object but not colliding with it,1
13,Not colliding,3,Multiple objects moving towards each other but not colliding among themselves,1
14,Occlusion,1,Small object coming infront of big object barely occluding it,1
14,Occlusion,3,Object which is occluding another object switches places and goes behind it,1
15,Orbiting,1,Single object orbiting another object in the center in clockwise direction on horizontal plane,1
15,Orbiting,3,Single object orbiting another object in the center in clockwise direction first and then counter clockwise direction on horizontal plane,1
15,Orbiting,5,Single object orbiting another object in the center in clockwise direction on vertical plane,1
16,Rising,1,Single object rising straight up without changing direction,1
16,Rising,2,Single object rising in a zigzag pattern,1
17,Shooting projectile,1,Shooting projectile from one corner to opposite corner,1
17,Shooting projectile,2,Shooting projectile from right corner to left corner,1
17,Shooting projectile,4,Shooting two projectiles from same position to opposite corner,1
18,Shrinking,1,Large single object shrinking into medium sized object,1
18,Shrinking,3,Two different large objects shrinking into same smaller size,1
19,Teleporting,1,Single object teleporting from one corner to another,1
19,Teleporting,2,Single object teleporting from one corner to another while another object is in the center,1
19,Teleporting,3,Two objects in opposite corners switch places by teleporting,1
0,Appearing,3,Multiple objects all appearing one by one by increasing opacity,2
0,Appearing,4,Two objects appearing among two other objects,2
1,Arriving,3,Multiple objects arriving one by one,2
1,Arriving,4,Single object arriving among many objects,2
1,Arriving,6,"Single object arriving beside another single object, pausing then going away",2
2,Bouncing,2,Multiple objects bouncing on plain surface at almost similar heights eventually stop,2
